code,title,credits
MSE 5390,SPECIAL TOPICS IN MATERIALS SCIENCE AND ENGINEERING,3
CSE 4376,DIGITAL COMMUNICATION SYSTEMS,3
CE 4337,PORTLAND CEMENT CONCRETE PAVEMENTS,3
GWSS 4316,WOMEN IN THE POLITICAL PROCESS,3
LARC 5691,CONFERENCE COURSE IN LANDSCAPE ARCHITECTURE,6
DNCE 3342,EXPERIENTIAL ANATOMY FOR DANCE,3
BE 3180,INTRODUCTION TO MEDICAL DEVICE REGULATORY REQUIREMENTS AND QUALITY STANDARDS,1
PHYS 4291,SPECIAL TOPICS,2
MUSI 4236,PRIVATE LESSONS IN JAZZ GUITAR,2
AE 5335,OPTIMAL CONTROL OF DYNAMIC SYS,3
ARCH 2341,DESIGN COMMUNICATION FOR ENGINEERS,3
ECON 5331,PROJECT EVALUATION AND FEASIBILITY ANALYSIS,3
ANTH 3316,LATINO HEALTH ISSUES,3
KINE 6293,GRANT WRITING,2
FINA 4317,LENDING AND CREDIT ANALYSIS,3
ACCT 2302,PRINCIPLES OF ACCOUNTING II,3
INTS 4392,INTERDISCIPLINARY STUDIES SERVICE LEARNING,3
MAS 2300,INTRODUCTION TO MEXICAN AMERICAN STUDIES,3
SOCW 4350,SPECIAL ISSUES IN SOCIAL WORK,3
EDAD 5322,EDUCATIONAL RESEARCH AND EVALUATION,3
CRCJ 4325,GANGS,3
KORE 2391,CONFERENCE COURSE,3
ARCH 5354,CONVERGENCES: BETWEEN ART AND ARCHITECTURE,3
IE 5301,INTRODUCTION TO OPERATIONS RESEARCH,3
REAE 4291,STUDIES IN REAL ESTATE,2
KINE 4233,ATHLETIC TRAINING ORGANIZATION & ADMINISTRATION,2
CHEM 6699,DISSERTATION,6
SOCW 4314,INTIMATE PARTNER VIOLENCE,3
NURSC 5650,PSYCHIATRIC MENTAL HEALTH NP ADVANCED PRACTICUM,6
HEED 1340,HEALTHY LIFESTYLES,3
KINE 5120,ATHLETIC TRAINING CLINICAL I,1
MUSI 5101,SYMPHONIC WINDS,1
PHIL 5393,PHILOSOPHICAL PERSPECTIVES ON THE HUMANITIES,3
MATH 5304,GENERAL TOPOLOGY,3
CE 5368,UNSATURATED SOIL MECHANICS,3
SOCW 5485,ADVANCED FIELD BLOCK I,4
ANTH 3360,ARCHAEOLOGY IN PRACTICE,3
POLS 5311,CAMPAIGNS AND ELECTIONS,3
COMM 5345,COMMUNICATION CAMPAIGNS,3
ENGL 3377,TECHNICAL EDITING,3
HUMA 5304,CULTURAL STUDIES,3
GERM 3393,GERMAN INTERNSHIP,3
AE 5302,ADVANCED FLIGHT MECHANICS,3
CLAS 3335,TOPICS IN CLASSICAL STUDIES,3
MARK 6303,CONSUMER BEHAVIOR II,3
MODL 1491,CONFERENCE COURSE,4
MARK 5370,SOCIAL MEDIA MARKETING,3
CE 4322,APPLICATIONS WITH GEOSYNTHETICS,3
MUSI 5012,CHAMBER MUSIC,0
EVSE 6999,DISSERTATION,9
HONR-LA 3304,SPECIAL TOPICS,3
HCAD 5392,SPECIAL TOPICS IN HEALTH CARE ADMINISTRATION,3
SPAN 5300,HISTORY OF THE SPANISH LANGUAGE,3
CSE 6368,COMPUTER VISION,3
HONR-EN 4304,HONORS INDEPENDENT STUDY,3
PAPP 5343,APPLIED URBAN ANALYSIS,3
OPMA 5379,ORGANIZATIONAL RESEARCH PROJECT,3
NURS 2232,LEARNING PROFESSIONAL NURSING AND LIFE SKILLS,2
BIOL 5355,TOXICOLOGY,3
ESOL 4300,ACADEMIC WRITING,3
PSYC 5322,SOCIAL PSYCHOLOGY,3
MASI 5332,ADVANCED DATA COLLECTION,3
SCIE 5301,CONTEMPORARY SCIENCE,3
CE 5327,ADVANCED PROJECT CONTROL,3
INSY 5373,INFORMATION SYSTEMS PROJECT MANAGEMENT,3
ART 5355,RESEARCH IN VISUAL COMMUNICATION,3
NURS 5340,MANAGEMENT SEMINAR AND PRACTICE,3
ACCT 4304,MANAGEMENT PLANNING AND CONTROL,3
PSYC 5307,RESEARCH METHODS,3
MATH 5300,INTRODUCTION TO SCIENTIFIC COMPUTING,3
PSYC 5151,READINGS IN PSYCHOLOGY,1
INSY 6306,SEMINAR IN INFORMATION TECHNOLOGIES,3
MSE 7399,DOCTORAL DEGREE COMPLETION,3
GEOG 3336,ENVIRONMENTAL HISTORY OF THE UNITED STATES,3
KINE 6303,PROFESSIONAL DEVELOPMENT,3
BSAD 6317,APPLIED BUSINESS & ECONOMICS DATA ANALYSIS I,3
THEA 3361,WOMEN IN THEATRE,3
AAST 3301,THEORIES OF HUMAN BEHAVIOR,3
LING 5691,CONFERENCE COURSE IN LINGUISTICS,6
THEA 3350,FABRIC MODIFICATION AND COSTUME CRAFTS,3
PSYC 6346,EVOLUTIONARY PSYCHOLOGY,3
EVSE 5350,CONTAMINANT HYDROGEOLOGY,3
ECON 2305,PRINCIPLES OF MACROECONOMICS,3
BE 3346,MEDICAL IMAGING,3
ME 5353,COMPUTATIONAL TECHNIQUES FOR ELECTRONIC PACKAGING,3
PSYC 5411,APPLIED STATISTICS II,4
ENGL 5370,WRITING FOR PUBLICATION IN THE HUMANITIES,3
HONR 4344,HONORS SERVICE LEARNING OPPORTUNITIES,3
SOCW 5301,HUMAN BEHAVIOR AND THE SOCIAL ENVIRONMENT,3
ACCT 6311,SEMINAR IN ACCOUNTING RESEARCH III,3
ACCT 5330,INTERNATIONAL ACCOUNTING AND FINANCIAL REPORTING,3
EE 5389,TOPICS IN OPTICS,3
BSAD 6321,FOUNDATIONS OF STRUCTURAL EQUATION MODELING,3
EE 2240,SOPHOMORE PROJECT LABORATORY,2
GEOL 1301,EARTH SYSTEMS,3
OPMA 5362,SERVICES OPERATIONS,3
PSYC 5324,APPLIED RESEARCH DESIGN,3
INSY 4291,STUDIES IN INFORMATION SYSTEMS,2
GEOL 4389,RESEARCH IN GEOLOGY,3
BSTAT 5360,COMPUTATIONAL TECHNIQUES FOR BUSINESS ANALYTICS,3
ANTH 2339,INTRODUCTION TO ARCHAEOLOGY,3
SPAN 4191,CONFERENCE COURSE,1
