Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2022 - 2023,2022 Fall,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,001,10,18,4,1,0,2,0,0,2,0,0,37
2022 - 2023,2022 Fall,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,002,8,9,3,0,1,0,0,0,1,0,0,22
2022 - 2023,2022 Fall,GRAD,GRAD,Abdul,Rasheed,,MANA,5331,020,6,4,0,0,0,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Abdul,Rasheed,Angie Lorena Cabrera Uribe,MANA,5331,072,13,9,1,0,0,0,0,0,0,0,0,23
2022 - 2023,2022 Fall,GRAD,GRAD,Abhishek,Santra,Enamul Karim,CSE,5330,004,27,30,2,0,1,0,0,0,0,0,0,60
2022 - 2023,2022 Fall,GRAD,GRAD,Abhishek,Santra,Mengxiao Wang,CSE,5330,001,26,31,2,0,0,0,0,0,0,0,0,59
2022 - 2023,2022 Fall,GRAD,GRAD,Abhishek,Santra,Tulasi Nakka,CSE,5330,003,25,33,2,0,0,0,0,0,0,0,0,60
2022 - 2023,2022 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5128,001,11,7,0,0,0,0,0,0,0,0,0,18
2022 - 2023,2022 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5235,001,6,12,0,0,0,0,0,0,0,0,0,18
2022 - 2023,2022 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5333,001,18,0,0,0,0,0,0,0,0,0,0,18
2022 - 2023,2022 Fall,GRAD,GRAD,Adam,Annaccone,,KINE,5348,001,6,6,0,0,0,0,0,0,2,0,0,14
2022 - 2023,2022 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5304,018,8,0,0,0,0,0,0,0,0,0,0,8
2022 - 2023,2022 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5304,027,9,0,0,0,1,0,0,0,0,0,0,10
2022 - 2023,2022 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5306,003,21,5,3,0,0,0,0,0,0,0,0,29
2022 - 2023,2022 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5316,015,14,3,0,0,0,0,0,0,0,0,0,17
2022 - 2023,2022 Fall,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5316,035,19,3,0,0,1,0,0,0,1,0,0,24
2022 - 2023,2022 Fall,GRAD,GRAD,Adrienne,Johnson,,SOCW,5367,030,25,0,0,0,1,0,0,0,1,0,0,27
