Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2021 - 2022,2022 Summer,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,030,11,4,0,0,0,0,0,0,0,0,0,15
2021 - 2022,2022 Summer,GRAD,GRAD,Aaron,Smallwood,,FINA,5331,070,13,11,1,0,0,4,0,0,0,0,0,29
2021 - 2022,2022 Summer,GRAD,GRAD,Abdolhossein,Haji-Sheikh,,ME,5318,001,4,4,0,0,0,0,0,0,0,0,0,8
2021 - 2022,2022 Summer,GRAD,GRAD,Adam,Annaccone,,KINE,5223,001,18,0,0,0,0,0,0,0,0,0,0,18
2021 - 2022,2022 Summer,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5234,001,18,0,0,0,0,0,0,0,0,0,0,18
2021 - 2022,2022 Summer,GRAD,GRAD,Adam,Annaccone,Meredith Decker,KINE,5356,001,6,12,0,0,0,0,0,0,0,0,0,18
2021 - 2022,2022 Summer,GRAD,GRAD,Adrienne,Johnson,,SOCW,5367,004,17,0,0,0,0,0,0,0,0,0,0,17
2021 - 2022,2022 Summer,GRAD,GRAD,Aera,LeBoulluec,"Md Humaun Kobir, Mohammad Aman Ullah Al Amin",IE,5318,001,2,3,2,1,0,0,0,0,0,0,0,8
2021 - 2022,2022 Summer,GRAD,GRAD,Aera,LeBoulluec,"Md Humaun Kobir, Mohammad Aman Ullah Al Amin",IE,5318,002,2,5,2,0,0,0,0,0,1,0,0,10
2021 - 2022,2022 Summer,GRAD,GRAD,Aimee,Dunnam,,NURS,5650,001,0,0,0,0,0,0,6,0,0,0,0,6
2021 - 2022,2022 Summer,GRAD,GRAD,Aimee,Dunnam,,NURS,5650,002,0,0,0,0,0,0,7,0,0,0,0,7
2021 - 2022,2022 Summer,GRAD,GRAD,Aimee,Dunnam,"Donna Hamby, Keri Draganic",NURS,6382,403,6,0,0,0,0,0,0,0,0,0,0,6
2021 - 2022,2022 Summer,GRAD,GRAD,Akshit,Singhal,Mohammad Samiul Arshad,CSE,5325,004,29,16,2,0,0,0,0,0,0,0,0,47
2021 - 2022,2022 Summer,GRAD,GRAD,Akshit,Singhal,Saiyang Na,CSE,5324,001,25,14,0,0,0,0,0,0,1,0,0,40
2021 - 2022,2022 Summer,GRAD,GRAD,Albert,White,,SOCW,5318,001,23,1,0,0,0,0,0,0,0,0,0,24
2021 - 2022,2022 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PLAN,5328,500,35,16,5,0,0,0,0,0,1,0,0,57
2021 - 2022,2022 Summer,GRAD,GRAD,Alejandro,Rodriguez,,PLAN,5329,500,30,3,0,0,0,0,0,0,1,0,0,34
2021 - 2022,2022 Summer,GRAD,GRAD,Alex,Dillhoff,Mohammad Minhazul Haq,CSE,6363,001,37,4,0,1,1,0,0,0,0,0,0,43
2021 - 2022,2022 Summer,GRAD,GRAD,Amanda,Hassan,,SOCW,5323,001,27,2,0,0,0,0,0,0,0,0,0,29
2021 - 2022,2022 Summer,GRAD,GRAD,Amanda,Mendez,Phyllis Wood,NURS,5660,464,0,0,0,0,0,0,10,0,0,0,0,10
2021 - 2022,2022 Summer,GRAD,GRAD,Amanda,Olsen,,EDUC,5367,003,9,0,0,0,0,0,0,0,0,0,0,9
2021 - 2022,2022 Summer,GRAD,GRAD,Amanda,Olsen,,EDUC,5394,001,7,0,0,0,0,0,0,0,0,0,0,7
2021 - 2022,2022 Summer,GRAD,GRAD,Amanda,Olsen,,EDUC,5397,105,44,3,1,0,0,0,0,0,1,0,0,49
2021 - 2022,2022 Summer,GRAD,GRAD,Amanda,Ryan,,SOCW,5316,001,22,2,0,0,0,0,0,0,0,0,0,24
2021 - 2022,2022 Summer,GRAD,GRAD,Amanda,Ryan,,SOCW,5316,002,19,2,0,0,0,0,0,0,0,0,0,21
2021 - 2022,2022 Summer,GRAD,GRAD,Amandeep,Dhaliwal,,PSYC,6300,001,11,0,1,0,0,0,0,0,0,0,0,12
2021 - 2022,2022 Summer,GRAD,GRAD,Amy,Anderson,,EDAD,5384,105,360,12,1,0,4,0,0,0,2,0,0,379
2021 - 2022,2022 Summer,GRAD,GRAD,Amy,Anderson,,EDAD,5389,005,106,0,0,0,2,0,0,0,5,0,0,113
2021 - 2022,2022 Summer,GRAD,GRAD,Amy,Austin,,MODL,5301,001,0,0,0,0,0,0,7,0,0,0,0,7
2021 - 2022,2022 Summer,GRAD,GRAD,Amy,Hinz Horn,,LIST,5325,005,44,1,1,1,0,0,0,0,0,0,0,47
2021 - 2022,2022 Summer,GRAD,GRAD,Amy,Hinz Horn,,LIST,5326,005,42,1,0,0,0,0,0,0,1,0,0,44
2021 - 2022,2022 Summer,GRAD,GRAD,Anamarina,Jarecke,"Elishia Featherston, Sara Moore",NURS,5130,426,0,0,0,0,0,0,10,0,0,0,0,10
