Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2022 - 2023,2023 Spring,GRAD,GRAD,Aaron,Smallwood,,ECON,5337,002,5,6,1,1,0,0,0,0,0,0,0,13
2022 - 2023,2023 Spring,GRAD,GRAD,Abdul,Rasheed,Angie Lorena Cabrera Uribe,MANA,5331,070,24,18,1,0,0,0,0,0,4,0,0,47
2022 - 2023,2023 Spring,GRAD,GRAD,Abhishek,Santra,"Anamitra Roy, Kiran Bolaj",CSE,5331,001,26,31,2,0,0,0,0,0,0,0,0,59
2022 - 2023,2023 Spring,GRAD,GRAD,Abhishek,Santra,"Arshdeep Singh, Mengxiao Wang",CSE,5330,003,33,39,3,0,0,0,0,0,0,0,0,75
2022 - 2023,2023 Spring,GRAD,GRAD,Adam,Annaccone,,KINE,5228,001,18,0,0,0,0,0,0,0,0,0,0,18
2022 - 2023,2023 Spring,GRAD,GRAD,Adam,Annaccone,,KINE,5355,001,7,2,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2023 Spring,GRAD,GRAD,Adelaine,Cunningham,"Deborah Behan, Jan Phillips, Michelle Hampton, Shirley Aycock",NURS,6323,406,3,1,0,0,0,0,0,0,2,0,0,6
2022 - 2023,2023 Spring,GRAD,GRAD,Aditi,Prabhakar,,SOCW,5307,001,6,0,0,0,0,0,0,0,1,0,0,7
2022 - 2023,2023 Spring,GRAD,GRAD,Adrienne,Johnson,,SOCW,5367,002,15,1,0,0,1,0,0,0,0,0,0,17
2022 - 2023,2023 Spring,GRAD,GRAD,Adwait,Khare,,MARK,5331,072,16,4,0,0,0,0,0,0,0,0,0,20
2022 - 2023,2023 Spring,GRAD,GRAD,Agustin,Villafana,,CE,5327,001,5,5,4,0,2,0,0,0,0,0,0,16
2022 - 2023,2023 Spring,GRAD,GRAD,Ahmad Mahmoud Ahmad,Jibreen,Anas Hammouri,CE,5343,001,5,9,0,0,0,0,0,0,0,0,0,14
2022 - 2023,2023 Spring,GRAD,GRAD,Ahmad Mahmoud Ahmad,Jibreen,Anas Hammouri,CE,5343,101,6,5,0,0,0,0,0,0,0,0,0,11
2022 - 2023,2023 Spring,GRAD,GRAD,Ahmad Mahmoud Ahmad,Jibreen,Anas Hammouri,CM,5343,001,1,12,0,0,0,0,0,0,0,0,0,13
2022 - 2023,2023 Spring,GRAD,GRAD,Ahmad Mahmoud Ahmad,Jibreen,Anas Hammouri,CM,5343,101,5,7,0,0,0,0,0,0,0,0,0,12
2022 - 2023,2023 Spring,GRAD,GRAD,Ahmad Mahmoud Ahmad,Jibreen,"Sadhika Poondru, Sagar Pawar",CM,5386,003,20,23,7,0,0,0,0,0,0,0,0,50
2022 - 2023,2023 Spring,GRAD,GRAD,Ahmet,Koru,Honghui Wu,EE,5323,001,13,0,0,0,0,0,0,0,0,0,0,13
2022 - 2023,2023 Spring,GRAD,GRAD,Ahmet,Koru,Honghui Wu,EE,5323,002,6,0,0,0,0,0,0,0,0,0,0,6
2022 - 2023,2023 Spring,GRAD,GRAD,Albert,Tong,Swaraj Moro,AE,5332,001,3,6,2,1,4,0,0,0,1,0,0,17
2022 - 2023,2023 Spring,GRAD,GRAD,Albert,Tong,Swaraj Moro,AE,5332,002,3,2,2,0,0,0,0,0,2,0,0,9
2022 - 2023,2023 Spring,GRAD,GRAD,Albert,Tong,Swaraj Moro,ME,5332,001,4,2,6,7,3,0,0,0,0,0,0,22
2022 - 2023,2023 Spring,GRAD,GRAD,Alejandro,Rodriguez,,PAPP,6315,001,6,1,0,0,0,2,0,0,0,0,0,9
2022 - 2023,2023 Spring,GRAD,GRAD,Alejandro,Rodriguez,,PLAN,5328,001,8,1,0,0,0,0,0,0,0,0,0,9
2022 - 2023,2023 Spring,GRAD,GRAD,Alejandro,Rodriguez,,PLAN,5328,101,27,4,0,0,0,1,0,0,0,0,0,32
2022 - 2023,2023 Spring,GRAD,GRAD,Alex,Dillhoff,"Evan Cornish, Lin Sun",CSE,6363,006,34,5,1,0,0,0,0,0,0,0,0,40
